"campuskey","sitekey","latitude","longitude","month","total_generation_kwh"
5,42,"-36.38031889","145.4062897","2020-08-01 00:00:00","2601.25"
1,32,"-37.71828652","145.0509752","2020-08-01 00:00:00","2329.4365234375"
1,35,"-37.71828652","145.0509752","2020-08-01 00:00:00","2101.91015625"
1,34,"-37.71828652","145.0509752","2020-08-01 00:00:00","1605.2275390625"
1,23,"-37.71828652","145.0509752","2020-08-01 00:00:00","1599.7028121948242"
1,30,"-37.71828652","145.0509752","2020-08-01 00:00:00","1219.148678779602"
3,7,"-36.77885832","144.3012321","2020-08-01 00:00:00","927.125"
1,29,"-37.71828652","145.0509752","2020-08-01 00:00:00","859.6733703613281"
3,9,"-36.77885832","144.3012321","2020-08-01 00:00:00","801.3828125"
1,39,"-37.71828652","145.0509752","2020-08-01 00:00:00","713.7001042366028"
1,28,"-37.71828652","145.0509752","2020-08-01 00:00:00","561.6831283569336"
1,27,"-37.71828652","145.0509752","2020-09-01 00:00:00","38786.375"
1,25,"-37.71828652","145.0509752","2020-09-01 00:00:00","37059.45703125"
1,19,"-37.71828652","145.0509752","2020-09-01 00:00:00","19243.431640625"
1,18,"-37.71828652","145.0509752","2020-09-01 00:00:00","16931.49609375"
2,1,"-36.11120917","146.8486788","2020-09-01 00:00:00","10462.96875"
4,41,"-34.20528877","142.166556","2020-09-01 00:00:00","9916.09375"
2,2,"-36.11120917","146.8486788","2020-09-01 00:00:00","8994.0625"
1,24,"-37.71828652","145.0509752","2020-09-01 00:00:00","8482.642578125"
1,33,"-37.71828652","145.0509752","2020-09-01 00:00:00","8366.376953125"
1,15,"-37.71828652","145.0509752","2020-09-01 00:00:00","7958.8779296875"
1,20,"-37.71828652","145.0509752","2020-09-01 00:00:00","7715.4794921875"
1,31,"-37.71828652","145.0509752","2020-09-01 00:00:00","7073.4853515625"
1,40,"-37.71828652","145.0509752","2020-09-01 00:00:00","6789.2080078125"
1,22,"-37.71828652","145.0509752","2020-09-01 00:00:00","6470.6845703125"
2,3,"-36.11120917","146.8486788","2020-09-01 00:00:00","6454.1875"
3,12,"-36.77885832","144.3012321","2020-09-01 00:00:00","6415.96875"
1,14,"-37.71828652","145.0509752","2020-09-01 00:00:00","6279.662109375"
3,13,"-36.77885832","144.3012321","2020-09-01 00:00:00","6116.953125"
1,23,"-37.71828652","145.0509752","2020-09-01 00:00:00","5339.65380859375"
1,38,"-37.71828652","145.0509752","2020-09-01 00:00:00","5277.5859375"
1,36,"-37.71828652","145.0509752","2020-09-01 00:00:00","4579.82763671875"
